,0.0001,0.0002,0.0003,0.0005,0.0007,0.001,0.0015,0.002,0.003,0.004,0.005,0.006,0.007,0.008,0.01,0.012,0.016,0.024,0.035
0.0,-0.0001015663146972,-0.0003185272216796,0.0004854202270507,-0.000838279724121,0.0029592514038085,0.0105504989624023,,0.1030316352844238,0.2314496040344238,0.4070100784301758,0.6927123069763184,1.1185579299926758,1.8728370666503904,3.357721328735352,9.704487800598145,,,67160.57780838013,119392.74187088013
0.0001,,,,,,,,,,,,,,,,,,,
0.0002,,,,,,,,,,,,,,,,,,,
0.0003,,,,,,,,,,,,,,,,,,,
0.0005,,,,,,,,,,,,,,,,,,,
0.0007,,,,,,,,,,,,,,,,,,,
0.001,,,,,,,,,,,,,,,,,,,
0.0015,,,,,,,,,,,,,,,,,,,
0.002,,,,,,,,,,,,,,,,,,,
0.003,,,,,,,,,,,,,,,,,,,
0.004,,,,,,,,,,,,,,,,,,,
0.005,,,,,,,,,,,,,,,,,,,
0.006,,,,,,,,,,,,,,,,,,,
0.007,,,,,,,,,,,,,,,,,,,
0.008,,,,,,,,,,,,,,,,,,,
0.01,,,,,,,,,,,,,,,,,,,
0.012,,,,,,,,,,,,,,,,,,,
0.016,,,,,,,,,,,,,,,,,,,
0.024,,,,,,,,,,,,,,,,,,,
